id,Entity,Type,rdfs:label,has_alternative_id,has_broad_synonym,Superclass,Superclass,Superclass,adjacent_to,derives_from,guided_by,has_origin,has_part,has_part,has_part,has_part,has_part,member_of,non_functional_homolog_of,part_of,part_of,variant_of
1,region,Class,region,,,sequence_feature,,,,,,,,,,,,,,,,
2,sequence_secondary_structure,Class,sequence_secondary_structure,,,SO_0001411,,,,,,,,,,,,,,,,
3,G_quartet,Class,G_quartet,,,sequence_secondary_structure,,,,,,,,,,,,,,,,
4,interior_coding_exon,Class,interior_coding_exon,,,coding_exon,,,,,,,,,,,,,,,,
5,satellite_DNA,Class,satellite_DNA,,,tandem_repeat,,,,,,,,,,,,,,,,
6,PCR_product,Class,PCR_product,,,reagent,,,,,,,,,,,,,,,,
7,read_pair,Class,read_pair,,,assembly_component,,,,,,,,,,,,,,contig,,
10,protein_coding,Class,protein_coding,,,gene_attribute,,,,,,,,,,,,,,,,
11,non_protein_coding,Class,non_protein_coding,,,gene_attribute,,,,,,,,,,,,,,,,
12,scRNA_primary_transcript,Class,scRNA_primary_transcript,,,nc_primary_transcript,,,,,,,,,,,,,,,,
13,scRNA,Class,scRNA,,,ncRNA,,,,scRNA_primary_transcript,,,,,,,,,,,,
14,INR_motif,Class,INR_motif,,,TF_binding_site,,,,,,,,,,,,,,RNApol_II_promoter,,
15,DPE_motif,Class,DPE_motif,,,TF_binding_site,,,,,,,,,,,,,,RNApol_II_promoter,,
16,BRE_motif,Class,BRE_motif,,,TF_binding_site,,,,,,,,,,,,,,RNApol_II_promoter,,
17,PSE_motif,Class,PSE_motif,,,DNA_motif,,,,,,,,,,,,,,promoter,,
18,linkage_group,Class,linkage_group,,,SO_0001411,,,,,,,,,,,,,,,,
20,RNA_internal_loop,Class,RNA_internal_loop,,,RNA_motif,,,,,,,,,,,,,,,,
21,asymmetric_RNA_internal_loop,Class,asymmetric_RNA_internal_loop,,,RNA_internal_loop,,,,,,,,,,,,,,,,
22,A_minor_RNA_motif,Class,A_minor_RNA_motif,,,RNA_motif,,,,,,,,,,,,,,,,
23,K_turn_RNA_motif,Class,K_turn_RNA_motif,,,asymmetric_RNA_internal_loop,,,,,,,,,,,,,,,,
24,sarcin_like_RNA_motif,Class,sarcin_like_RNA_motif,,,asymmetric_RNA_internal_loop,,,,,,,,,,,,,,,,
25,symmetric_RNA_internal_loop,Class,symmetric_RNA_internal_loop,,,RNA_internal_loop,,,,,,,,,,,,,,,,
26,RNA_junction_loop,Class,RNA_junction_loop,,,RNA_motif,,,,,,,,,,,,,,,,
27,RNA_hook_turn,Class,RNA_hook_turn,,,RNA_junction_loop,,,,,,,,,,,,,,,,
28,base_pair,Class,base_pair,,,sequence_secondary_structure,,,,,,,,,,,,,,,,
29,WC_base_pair,Class,WC_base_pair,,,base_pair,,,,,,,,,,,,,,,,
30,sugar_edge_base_pair,Class,sugar_edge_base_pair,,,base_pair,,,,,,,,,,,,,,,,
31,aptamer,Class,aptamer,,,oligo,,,,,,,,,,,,,,,,
32,DNA_aptamer,Class,DNA_aptamer,,,aptamer,,,,,,,,,,,,,,,,
33,RNA_aptamer,Class,RNA_aptamer,,,aptamer,,,,,,,,,,,,,,,,
34,morpholino_oligo,Class,morpholino_oligo,,,synthetic_oligo,,,,,,,,,,,,,,,,
35,riboswitch,Class,riboswitch,,,mRNA_region,,,,,,,,,,,,,,mRNA,,
36,matrix_attachment_site,Class,matrix_attachment_site,,,chromosomal_regulatory_element,,,,,,,,,,,,,,,,
37,locus_control_region,Class,locus_control_region,,,CRM,,,,,,,,,,,,,,,,
39,match_part,Class,match_part,,,SO_0001410,,,,,,,,,,,,,,match,,
40,genomic_clone,Class,genomic_clone,,,clone,,,,,,,,,,,,,,,,
43,processed_pseudogene,Class,processed_pseudogene,,,pseudogene,,,,,,,,,,,,,,,,
44,pseudogene_by_unequal_crossing_over,Class,pseudogene_by_unequal_crossing_over,,,pseudogene,,,,,,,,,,,,,,,,
51,probe,Class,probe,,,oligo,,,,,,,,,,,,,,,,
53,sequence_variant_affecting_regulatory_region,Class,sequence_variant_affecting_regulatory_region,,,SO_1000132,,,,,,,,,,,,,,,,
54,aneuploid,Class,aneuploid,,,SO_1000182,,,,,,,,,,,,,,,,
55,hyperploid,Class,hyperploid,,,aneuploid,,,,,,,,,,,,,,,,
56,hypoploid,Class,hypoploid,,,aneuploid,,,,,,,,,,,,,,,,
57,operator,Class,operator,,,gene_group_regulatory_region,,,,,,,,,,,,,,,,
59,nuclease_binding_site,Class,nuclease_binding_site,,,protein_binding_site,,,,,,,,,,,,,,,,
60,compound_chromosome_arm,Class,compound_chromosome_arm,,,SO_1000042,,,,,,,,,,,,,,,,
61,restriction_enzyme_binding_site,Class,restriction_enzyme_binding_site,,,nuclease_binding_site,,,,,,,,,,,,,,,,
62,deficient_intrachromosomal_transposition,Class,deficient_intrachromosomal_transposition,,,SO_1000041,,,,,,,,,,,,,,,,
63,deficient_interchromosomal_transposition,Class,deficient_interchromosomal_transposition,,,SO_1000155,,,,,,,,,,,,,,,,
65,free_chromosome_arm,Class,free_chromosome_arm,,,SO_1000183,,,,,,,,,,,,,,,,
67,gene_to_gene_feature,Class,gene_to_gene_feature,,,gene_attribute,,,,,,,,,,,,,,,,
68,overlapping,Class,overlapping,,,gene_to_gene_feature,,,,,,,,,,,,,,,,
69,inside_intron,Class,inside_intron,,,overlapping,,,,,,,,,,,,,,,,
70,inside_intron_antiparallel,Class,inside_intron_antiparallel,,,inside_intron,,,,,,,,,,,,,,,,
71,inside_intron_parallel,Class,inside_intron_parallel,,,inside_intron,,,,,,,,,,,,,,,,
73,five_prime_three_prime_overlap,Class,five_prime_three_prime_overlap,,,overlapping,,,,,,,,,,,,,,,,
74,five_prime_five_prime_overlap,Class,five_prime_five_prime_overlap,,,overlapping,,,,,,,,,,,,,,,,
75,three_prime_three_prime_overlap,Class,three_prime_three_prime_overlap,,,overlapping,,,,,,,,,,,,,,,,
76,three_prime_five_prime_overlap,Class,three_prime_five_prime_overlap,,,overlapping,,,,,,,,,,,,,,,,
77,antisense,Class,antisense,,,overlapping,,,,,,,,,,,,,,,,
78,polycistronic_transcript,Class,polycistronic_transcript,,,transcript,,,,,,,,,,,,,,,,
79,dicistronic_transcript,Class,dicistronic_transcript,,,polycistronic_transcript,transcript,,,,,,,,,,,,,,,
80,operon_member,Class,operon_member,,,gene_array_member,,,,,,,,,,,,,,,,
81,gene_array_member,Class,gene_array_member,,,gene_attribute,,,,,,,,,,,,,,,,
83,macronuclear_sequence,Class,macronuclear_sequence,,,organelle_sequence,,,,,,,,,,,,,,,,
84,micronuclear_sequence,Class,micronuclear_sequence,,,organelle_sequence,,,,,,,,,,,,,,,,
87,nuclear_gene,Class,nuclear_gene,,,gene,,,,,,,,,,,,,,,,
88,mt_gene,Class,mt_gene,,,gene,,,,,,,,,,,,,,,,
89,kinetoplast_gene,Class,kinetoplast_gene,,,mt_gene,,,,,,,,,,,,,,,,
90,plastid_gene,Class,plastid_gene,,,gene,,,,,,,,,,,,,,,,
91,apicoplast_gene,Class,apicoplast_gene,,,plastid_gene,,,,,,,,,,,,,,,,
92,ct_gene,Class,ct_gene,,,plastid_gene,,,,,,,,,,,,,,,,
93,chromoplast_gene,Class,chromoplast_gene,,,plastid_gene,,,,,,,,,,,,,,,,
94,cyanelle_gene,Class,cyanelle_gene,,,plastid_gene,,,,,,,,,,,,,,,,
95,leucoplast_gene,Class,leucoplast_gene,,,plastid_gene,,,,,,,,,,,,,,,,
96,proplastid_gene,Class,proplastid_gene,,,plastid_gene,,,,,,,,,,,,,,,,
97,nucleomorph_gene,Class,nucleomorph_gene,,,gene,,,,,,,,,,,,,,,,
98,plasmid_gene,Class,plasmid_gene,,,gene,,,,,,,,,,,,,,,,
99,proviral_gene,Class,proviral_gene,,,gene,,,,,,,,,,,,,,,,
100,endogenous_retroviral_gene,Class,endogenous_retroviral_gene,,,proviral_gene,,,,,,,,,,,,,,,,
101,transposable_element,Class,transposable_element,,,integrated_mobile_genetic_element,,,,,,,,,,,,,,,,
102,expressed_sequence_match,Class,expressed_sequence_match,,,nucleotide_match,,,,,,,,,,,,,,,,
103,clone_insert_end,Class,clone_insert_end,,,junction,,,,,,,,,,,,,,clone_insert,,
104,polypeptide,Class,polypeptide,SO:0000358,,SO_0001411,,,,CDS,,,,,,,,,,,,
105,chromosome_arm,Class,chromosome_arm,,,chromosome_part,,,,,,,,,,,,,,,,
107,sequencing_primer,Class,sequencing_primer,,,primer,,,,,,,,,,,,,,,,
108,mRNA_with_frameshift,Class,mRNA_with_frameshift,,,mRNA,,,,,,,,,,,,,,,,
110,sequence_feature,Class,sequence_feature,,,,,,,,,,,,,,,,,,,
111,transposable_element_gene,Class,transposable_element_gene,,,gene,,,,,,,,,,,,,,,,
112,primer,Class,primer,,,ss_oligo,,,,,,,,,,,,,,,,
113,proviral_region,Class,proviral_region,,,integrated_mobile_genetic_element,,,,,,,,,,,,,,,,
114,methylated_C,Class,methylated_C,,,methylated_base_feature,,,,,,,,,,,,,,,,
116,edited,Class,edited,,,transcript_attribute,,,,,,,,,,,,,,,,
118,transcript_with_translational_frameshift,Class,transcript_with_translational_frameshift,,,transcript,,,,,,,,,,,,,,,,
119,regulated,Class,regulated,,,gene_attribute,,,,,,,,,,,,,,,,
120,protein_coding_primary_transcript,Class,protein_coding_primary_transcript,,,primary_transcript,,,,,,,,,,,,,,,,
121,forward_primer,Class,forward_primer,,,primer,,,,,,,,,,,,,,,,
122,RNA_sequence_secondary_structure,Class,RNA_sequence_secondary_structure,,,sequence_secondary_structure,,,,,,,,,,,,,,,,
123,transcriptionally_regulated,Class,transcriptionally_regulated,,,regulated,,,,,,,,,,,,,,,,
124,transcriptionally_constitutive,Class,transcriptionally_constitutive,,,transcriptionally_regulated,,,,,,,,,,,,,,,,
125,transcriptionally_induced,Class,transcriptionally_induced,,,transcriptionally_regulated,,,,,,,,,,,,,,,,
126,transcriptionally_repressed,Class,transcriptionally_repressed,,,transcriptionally_regulated,,,,,,,,,,,,,,,,
127,silenced_gene,Class,silenced_gene,,,gene,,,,,,,,,,,,,,,,
128,gene_silenced_by_DNA_modification,Class,gene_silenced_by_DNA_modification,,,gene,silenced_gene,,,,,,,,,,,,,,,
129,gene_silenced_by_DNA_methylation,Class,gene_silenced_by_DNA_methylation,,,gene_silenced_by_DNA_modification,,,,,,,,,,,,,,,,
130,post_translationally_regulated,Class,post_translationally_regulated,,,regulated,,,,,,,,,,,,,,,,
131,translationally_regulated,Class,translationally_regulated,,,regulated,,,,,,,,,,,,,,,,
132,reverse_primer,Class,reverse_primer,,,primer,,,,,,,,,,,,,,,,
133,epigenetically_modified,Class,epigenetically_modified,,,gene_attribute,,,,,,,,,,,,,,,,
134,imprinted,Class,imprinted,,,regulated,epigenetically_modified,,,,,,,,,,,,,,,
135,maternally_imprinted,Class,maternally_imprinted,,,imprinted,,,,,,,,,,,,,,,,
136,paternally_imprinted,Class,paternally_imprinted,,,imprinted,,,,,,,,,,,,,,,,
137,allelically_excluded,Class,allelically_excluded,,,epigenetically_modified,,,,,,,,,,,,,,,,
138,gene_rearranged_at_DNA_level,Class,gene_rearranged_at_DNA_level,,,epigenetically_modified_gene,,,,,,,,,,,,,,,,
139,ribosome_entry_site,Class,ribosome_entry_site,,,UTR_region,,,,,,,,,,,,,,UTR,,
140,attenuator,Class,attenuator,,,SO_0005836,,,,,,,,,,,,,,mRNA,,
141,terminator,Class,terminator,,,SO_0005836,,,,,,,,,,,,,,transcript,,
142,DNA_sequence_secondary_structure,Class,DNA_sequence_secondary_structure,,,sequence_secondary_structure,,,,,,,,,,,,,,,,
143,assembly_component,Class,assembly_component,,,SO_0001410,,,,,,,,,,,,,,,,
145,recoded_codon,Class,recoded_codon,,,codon,,,,,,,,,,,,,,,,
146,capped,Class,capped,,,transcript_attribute,,,,,,,,,,,,,,,,
147,exon,Class,exon,,,transcript_region,,,,,,,,,,,,,,,,
148,supercontig,Class,supercontig,,,sequence_assembly,,,,,,,,,,,,,,ultracontig,,
149,contig,Class,contig,,,assembly_component,sequence_assembly,,,,,,,,,,,,,supercontig,,
150,read,Class,read,,,assembly_component,,,,,,,,,,,,,,contig,,
151,clone,Class,clone,,,reagent,,,,,,,,,,,,,,,,
152,YAC,Class,YAC,,,vector_replicon,,,,,,,,,,,,,,,,
153,BAC,Class,BAC,,,vector_replicon,,,,,,,,,,,,,,,,
154,PAC,Class,PAC,,,vector_replicon,,,,,,,,,,,,,,,,
155,plasmid,Class,plasmid,,,replicon,,,,,,,,,,,,,,,,
156,cosmid,Class,cosmid,,,vector_replicon,,,,,,,,,,,,,,,,
157,phagemid,Class,phagemid,,,vector_replicon,,,,,,,,,,,,,,,,
158,fosmid,Class,fosmid,,,vector_replicon,,,,,,,,,,,,,,,,
159,deletion,Class,deletion,SO:1000033,,sequence_alteration,SO_0001411,,,,,,,,,,,,,,,
161,methylated_A,Class,methylated_A,,,methylated_base_feature,,,,,,,,,,,,,,,,
162,splice_site,Class,splice_site,,,primary_transcript_region,,,,,,,,,,,,,,,,
163,five_prime_cis_splice_site,Class,five_prime_cis_splice_site,,,SO_0001419,,,,,,,,,,,,,,,,
164,three_prime_cis_splice_site,Class,three_prime_cis_splice_site,,,SO_0001419,,,,,,,,,,,,,,,,
165,enhancer,Class,enhancer,,,CRM,,,,,,,,,,,,,,,,
166,enhancer_bound_by_factor,Class,enhancer_bound_by_factor,,,enhancer,,,,,,,,,,,,,,,,
167,promoter,Class,promoter,,,transcriptional_cis_regulatory_region,,,,,,,,,,,,,,,,
169,RNApol_I_promoter,Class,RNApol_I_promoter,,,RNA_polymerase_promoter,,,,,,,,,,,,,,,,
170,RNApol_II_promoter,Class,RNApol_II_promoter,,,CRM,RNA_polymerase_promoter,,,,,,TATA_box,,,,,,,,,
171,RNApol_III_promoter,Class,RNApol_III_promoter,,,CRM,RNA_polymerase_promoter,,,,,,TATA_box,,,,,,,,,
172,CAAT_signal,Class,CAAT_signal,,,TF_binding_site,,,,,,,,,,,,,,RNApol_II_promoter,,
173,GC_rich_promoter_region,Class,GC_rich_promoter_region,,,DNA_motif,,,,,,,,,,,,,,RNApol_II_promoter,,
174,TATA_box,Class,TATA_box,,,TF_binding_site,,,,,,,,,,,,,,,,
175,minus_10_signal,Class,minus_10_signal,,,DNA_motif,,,,,,,,,,,,,,bacterial_RNApol_promoter,,
176,minus_35_signal,Class,minus_35_signal,,,DNA_motif,,,,,,,,,,,,,,bacterial_RNApol_promoter,,
177,cross_genome_match,Class,cross_genome_match,,,nucleotide_match,,,,,,,,,,,,,,,,
178,operon,Class,operon,,,SO_0005855,,,,,,,,,,,,,,,,
179,clone_insert_start,Class,clone_insert_start,,,junction,,,,,,,,,,,,,,clone_insert,,
180,retrotransposon,Class,retrotransposon,,,transposable_element,,,,,,,,,,,,,,,,
181,translated_nucleotide_match,Class,translated_nucleotide_match,,,nucleotide_match,,,,,,,,,,,,,,,,
182,DNA_transposon,Class,DNA_transposon,,,transposable_element,,,,,,,,,,,,,,,,
183,non_transcribed_region,Class,non_transcribed_region,,,gene_component_region,,,,,,,,,,,,,,,,
184,U2_intron,Class,U2_intron,,,spliceosomal_intron,,,,,,,,,,,,,,,,
185,primary_transcript,Class,primary_transcript,,,transcript,,,,,,,,,,,,,,,,
